observedStorage,observedOutflow,observedWaterSupply,elevationEnd,inflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,ignore,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
1433823.6674612446,0.0,0.0,0.0,25595.749092417565,110963.98297759907,23801.65289256199,2665.7232902173396,2665.7232902173396,249.74788245423093,2.916638711144201E8,2.83288714134647E8,141414.0,374270.0,0.9883333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1539693.3282470538,0.0,0.0,0.0,105869.66078580906,153513.1364041156,61487.603305785095,1832.9040535077188,1832.9040535077188,253.1928005262704,2.9267743566575384E8,1.0264976425238588E8,141921.0,375571.0,0.988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1671028.5189482234,0.0,0.0,0.0,131335.19070116966,196051.9495243564,87272.72727272734,1523.6503082017064,1523.6503082017064,256.1652999237536,2.6529271065464124E8,6.3333552593001075E7,142429.0,376878.0,0.9876666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1819868.2580872655,0.0,0.0,0.0,148839.73913904213,213636.03662851345,128925.6198347107,2330.0322001745903,2330.0322001745903,257.29315335835804,2.9477761854409945E8,2.0777193043574294E8,142936.0,378184.0,0.9873333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1880848.133058087,0.0,0.0,0.0,60979.87497082144,187676.22519464896,85289.25619834714,1650.4302063389985,1650.4302063389985,255.6054050979423,2.862813416316118E8,6.968925643833457E7,143443.0,379509.0,0.987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1889397.0243286325,0.0,0.0,0.0,8548.89127054549,129348.9453693651,65454.54545454545,1421.6256412839027,1421.6256412839027,251.32515556204086,2.9688645166538584E8,9734772.192412889,143951.0,380813.0,0.9866666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1893062.0053481122,0.0,0.0,0.0,3664.981019479773,122530.79192303214,5950.413223140496,4532.721242672244,4532.721242672244,250.76091591342453,2.8827180924710774E8,6.893614680901504E8,144458.0,382034.0,0.9863333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1897078.34807951,0.0,0.0,0.0,4016.3427313978827,117663.3136720092,6148.760330578512,2735.0606518423115,2735.0606518423115,250.34159490627232,2.9892104904241914E8,2.9098646249869996E8,144966.0,383326.0,0.986,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1904885.218844954,0.0,0.0,0.0,7806.870765443975,117042.99045513583,6148.760330578512,2278.4336517388306,2278.4336517388306,250.2881556215658,2.999604841625432E8,1.9146010821217993E8,145473.0,384610.0,0.9856666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1918899.9808730439,0.0,0.0,0.0,14014.762028089888,120857.48149228295,5950.413223140496,4249.857767802264,4249.857767802264,250.61676442903885,2.912640275943792E8,6.253602595206852E8,145981.0,385872.0,0.9853333333333334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1953834.7601208545,0.0,0.0,0.0,34934.77924781063,112450.79516956405,41652.89256198347,1688.5730085461555,1688.5730085461555,249.88538473777527,3.020270642104937E8,6.217030774043789E7,146488.0,387156.0,0.985,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
